ID,tweet,fecha,usuario,dispositivo
1305203849485938689,"Revela AMLO detalles de festejos patrios; habrá Grito en el Zócalo con ""llama de la esperanza"" y tributo a médicos https://t.co/BPfhqPsPPq el caso es hacer su show #amlo sin importar el luto x las muertes de #Covid_19mx y #feminicidio",2020-09-13 17:57:01,csiller0724,Twitter for iPad
1305203493817393152,@AntonioAttolini NO SE QUIEN ES MAS PENDEJO SI @AntonioAttolini  YO PENSABA  QUE ERA EL GOBERNADOR DE VERACRUZ #AmloElFracasoPresidencial  #AMLO,2020-09-13 17:55:37,rojoesmicolor,Twitter for iPhone
1305203017965207552,"#AMLO #MéxicoLibre 
🚨👉Felipe Calderón Hinojosa reiteró que desde Palacio Nacional existe una campaña de hostigamiento y persecución política en su contra. #INE 🚨👇 https://t.co/CIv8IQt4sh",2020-09-13 17:53:43,DDMexico,Socialbakers
1305202762494275584,@gilbertolozanog Viva #AMLO 🤣🤣🤣,2020-09-13 17:52:42,Jaime46631825,Twitter for Android
1305202674644791298,“Vamos mejorando en el combate a la pandemia”: #AMLO https://t.co/Dn79XNYsZZ https://t.co/OtgmLXhU4u,2020-09-13 17:52:21,JornadaSanLuis,Hootsuite Inc.
1305202621729460224,"@gibranrr Ramírez Cuellar sigue viendo sólo por sus intereses, no le importa el partido ni la visión de #AMLO

Para muestra; en el estado de Hidalgo negocio las candidaturas a presidente municipal del próximo mes, otorgándose las en su mayoría a la SosaNostra",2020-09-13 17:52:09,gil192218,Twitter for Android
1305202232451674113,"@Nakachi_Mx Ni así te sale lo que quieres, ya sabes la respuesta #AMLO",2020-09-13 17:50:36,rich_herrejon,Twitter for iPhone
1305201921905455105,Tiene razón Juan basta de encono y discusiones q no llevan a ningún lado aquí estamos porque somos Obradoristas de corazón UNÁMONOS #AMLO https://t.co/3EJdRNppwt,2020-09-13 17:49:22,AmloverMaria,Twitter for iPhone
1305201324716363778,"Por eso irrita tanto al presidente. Es inconcebible la ceguera mental de sus fanáticos. 
#AmloElFracasoPresidencial #amlo https://t.co/3u6Lz6ce5i",2020-09-13 17:46:59,yeagob,Twitter for iPhone
1305201322795307008,"Yo soy #AMLO
Tú eres #AMLO 
él/ella es #AMLO 
#TodosSomosAMLO https://t.co/FCndCbWAHu",2020-09-13 17:46:59,josgandarias,Twitter Web App
1305201254960955396,@lopezobrador_ Lo queremos de presidente hasta el 2030 viva #Amlo,2020-09-13 17:46:43,GConservadores,Twitter Web App
1305200056832864256,@lopezobrador_ El pueblo de izquierda está con #amlo  y somos millones!!!!!,2020-09-13 17:41:57,MarioRu84353439,Twitter for Android
1305199318836621315,@pedroferriz3 P3edejo #AMLO,2020-09-13 17:39:01,roger_ra,Twitter for iPhone
1305198772448718849,"@alvaro_delgado @FelipeCalderon @INEMexico #CalderonEsNarco nunca tendrá el poder de convocatoria de #Amlo queda bastante claro que el único apoyo que tiene son los bots. 
#JuicioaExpresidentes 
#MexicoLibreNoVa 
@TEPJF_informa",2020-09-13 17:36:51,nonalorehedzg03,Twitter for Android
1305198759173857281,"@elpaismexico #TodosSomosAMLO PATRIOTA #ninosheroes 

""Ustedes me van a juzgar pero no olviden que todavía falta que a ustedes y a mi nos juzgue la historia""

Viva la dignidad!
Viva México!

#AMLO en su discurso ofrecido en el pleno de la cámara de diputados en 2005.

https://t.co/MCgMSOu7fi
R",2020-09-13 17:36:48,MorenaVoto,Twitter for iPhone
1305198335200878592,"✋🏽🔴 #Política El presidente, Andrés Manuel López Obrador #AMLO, informó que el ingeniero #CuauhtémocCárdenas padece #Covid19, por lo que deseó que salga adelante y se recupere pronto https://t.co/hW3vi2p3pc",2020-09-13 17:35:07,ActualidadER,Twitter for Android
1305197185609404416,"@ClaudioXGG Es ahí cuando esperamos que el Poder Judicial y la oposición no permitan que lo logren.  #AMLO llegó con la bandera de ""Honestidad Valiente"", prometiendo el fin de la corrupción.  Queremos verlo!  Con propios y extraños.  Parejo!!!  La Justicia debe ser UNA y para todos!",2020-09-13 17:30:33,gerardo_dlgarza,Twitter for iPhone
1305197047658708992,"En sus campañas políticas, #AMLO criticó públicamente el proyecto y tuvo conocimiento de operativos violentos, un caso de tortura que derivó en encarcelamientos y acoso militar. https://t.co/8iHwS1KI41",2020-09-13 17:30:00,e_consulta,TweetDeck
1305196750353977344,"@LOVREGA Después de días de ataques personales en contra de Gibrán ??!?!

Pero tienes razón, #Amlo necesita de NUESTRO apoyo, no del TUYO.

#TodosSomosAMLO https://t.co/sGS0CDqXtI",2020-09-13 17:28:49,BallinaLajme,Twitter for Android
1305196730405679105,@ChairoDoc @ErikaPolet1 @FannyVG50 Obvio son gentes contratadas por el PRI PAN MC PRD su desesperación porque el 2021 ya está encima y no han logrado quitar la popularidad de #AMLO por el contrario ya mucha gente está abriendo los ojos de que si existe la mafia del poder! Que se cuide el presidente!,2020-09-13 17:28:44,TZoquette,Twitter for iPhone
1305196205056557057,@EnriqueAlfaroR #EsUnHonorEstarConObrador  gracias #AMLO,2020-09-13 17:26:39,moli8_moli,Twitter for iPhone
